Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,LD%,IFFB%,HR/FB,IFH,IFH%,Pull%,Cent%,Oppo%,Soft%,Hard%,FB%,Events,Med%,GB/FB,GB%,ISO,BUH%,BUH
Juan Soto,713,0.180925666,0.16690042,1.084033613,0.288194444,0.419354838,0.569444444,0.988799282,4.300614076383838,0.297619047,-0.9999999701976776,-0.4000000059604645,-1.964250959455967,146.7634593501984,63.35809427800763,0.4205848819428188,179.6323630976572,94.18303571428572,115.731,10.680436555631868,91,0.19739696,262,0.56832972,0.203947368,0.085365853,0.25,6,0.030150753,0.45119306,0.34707158,0.20173536,0.12581345,0.42950108,0.359649122,461,0.44468547,1.213414634,0.436403508,0.28125,0.8,4
Joc Pederson,449,0.122494432,0.233853006,0.523809523,0.275204359,0.392776523,0.514986376,0.907762899,3.908926098701616,0.322314049,0.4999999850988388,0.20000000298023224,-1.2539329454302788,81.74317906393532,29.22002490206483,0.3910353168878966,151.22539204110254,92.16299579326925,114.139,16.997977388822115,34,0.12546125,123,0.45387454,0.205323193,0.141509433,0.216981132,8,0.077669902,0.5,0.35714286,0.14285714,0.13533835,0.37593985,0.403041825,271,0.4887218,0.971698113,0.39163498,0.239782017,0.333333333,1
Willy Adames,688,0.107558139,0.251453488,0.427745664,0.250819672,0.331395348,0.462295081,0.793690429,4.433158213874132,0.296568627,0.9999999701976776,0.4000000059604645,1.3171868473291397,98.06381335588893,17.582900074448172,0.34193181539103934,119.43800398037838,88.56212713068182,112.287,20.600344016335228,53,0.12045455,178,0.40454545,0.188636363,0.114155251,0.146118721,12,0.086956521,0.45227273,0.33636364,0.21136364,0.16363636,0.325,0.497727272,440,0.51136364,0.630136986,0.313636363,0.211475409,0,0
Jesse Winker,508,0.124015748,0.208661417,0.594339622,0.253488372,0.359683794,0.404651162,0.764334956,4.073787002388085,0.303514376,-0.30000001192092896,-0.5,0.05135800689458847,70.77096228716752,11.346101899126984,0.33783508328691364,118.2795985550676,88.58066587094908,109.232,14.029802487220293,25,0.07598784,121,0.36778116,0.216049382,0.12037037,0.129629629,3,0.020547945,0.35866261,0.3556231,0.28571429,0.2006079,0.3100304,0.333333333,329,0.4893617,1.351851851,0.450617283,0.15116279,0.2,1
Travis d'Arnaud,341,0.070381231,0.260997067,0.269662921,0.237785016,0.302052785,0.436482084,0.738534869,2.436872947474616,0.280193236,-0.3999999985098839,-0.10000000149011612,-0.3682544082403183,42.252903575231294,2.3633811494009316,0.31879015821865225,103.04128384158486,89.93388671875,109.767,11.601458657381222,23,0.1036036,91,0.40990991,0.18018018,0.075949367,0.189873417,3,0.029126213,0.38288288,0.32432432,0.29279279,0.13004484,0.32286996,0.355855855,222,0.5470852,1.303797468,0.463963963,0.198697068,0,0
Ty France,535,0.071028037,0.213084112,0.333333333,0.233820459,0.304672897,0.365344467,0.670017364,1.5851350114081542,0.277310924,-0.5,-1.100000023841858,-1.1994516253471377,56.53363487736132,-6.049633444689243,0.29612975432493976,92.66403211301484,88.69310863597973,111.065,12.87278293918919,27,0.07297297,147,0.3972973,0.181081081,0.111940298,0.097014925,11,0.065088757,0.35945946,0.36216216,0.27837838,0.14054054,0.28648649,0.362162162,370,0.57297297,1.261194029,0.456756756,0.131524008,0,0
Kevin Newman,311,0.048231511,0.154340836,0.3125,0.277777777,0.311475409,0.375,0.686475409,5.735191711564316,0.322175732,0.10000000894069672,0.20000000298023224,0.6188467815518379,33.4477923474926,-2.9323879294377275,0.2984641043371276,88.91862059429197,85.58577473958333,104.694,9.793663533528646,4,0.01612903,58,0.23387097,0.219917012,0.097222222,0.041666666,9,0.077586206,0.35887097,0.35483871,0.28629032,0.15725806,0.20967742,0.298755186,248,0.63306452,1.611111111,0.4813278,0.097222223,0,0
Kyle Farmer,242,0.078512396,0.202479338,0.387755102,0.213953488,0.293388429,0.353488372,0.646876801,4.0518886697883385,0.251533742,0.20000000298023224,0,-1.8275455757975576,23.39831634291209,-4.91037699154817,0.28496870386155315,84.91941527097971,87.68798828125,108.731,17.902970086960565,9,0.05357143,49,0.29166667,0.184523809,0.039473684,0.065789473,2,0.032786885,0.39880952,0.36904762,0.23214286,0.13690476,0.30357143,0.452380952,168,0.55952381,0.802631578,0.363095238,0.139534884,0,0
Austin Slater,212,0.122641509,0.283018867,0.433333333,0.209039548,0.320754716,0.265536723,0.586291439,3.4031889181696986,0.294117647,0.19999998807907104,-0.800000011920929,-0.6993429958820343,18.52984092318208,-6.26951026237815,0.2734358378176419,76.36256352605918,88.2153080345219,105.359,7.213396170200446,4,0.03305785,45,0.37190083,0.282051282,0.04,0.08,5,0.084745762,0.33884298,0.33057851,0.33057851,0.11570248,0.29752066,0.213675213,121,0.58677686,2.36,0.504273504,0.056497175,0.75,3
Austin Hedges,146,0.04109589,0.342465753,0.12,0.151515151,0.202797202,0.219696969,0.422494171,4.767202034396686,0.219512195,0.20000000298023224,-0.10000000149011612,0.21058186888694763,3.13211272843412,-13.946685729546036,0.1914935778904628,19.734486824238942,84.75954861111111,103.238,21.374297718942906,1,0.01149425,21,0.24137931,0.148148148,0.142857142,0.047619047,2,0.074074074,0.52873563,0.25287356,0.2183908,0.14942529,0.25287356,0.518518518,87,0.59770115,0.642857142,0.333333333,0.068181818,0.333333333,2
